city,longtitude_radian,latitude_radian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
黑河 ,2.2258,0.877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
city,湛江,北海,凭祥,澳门,香港,深圳,南宁,肇庆,广州,汕头,个旧,畹町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,丹东,大同?,敦煌 ,玉门,包头,营口,张家口,呼和浩特,承德,锦州 ,鞍山,阿克苏,沈阳,通化 ,哈密,图们,四平,二连浩特,乌鲁木齐 ,长春,锡林浩特,牡丹江,鸡西,白城,哈尔滨,塔城,佳木斯,齐齐哈尔,同江,阿勒泰,海拉尔,满洲里,黑河 
longtitude_radian,1.9261,1.9045,1.8635,1.9816,1.9926,1.9907,1.8914,1.9628,1.9768,2.0365,1.8005,1.7115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1705,1.9775,1.6521,1.6938,1.9171,2.1335,0.7116,1.9504,2.0588,2.1141,2.1466,0.7186,2.1546,2.1981,1.6321,2.2661,2.1703,1.9539,1.5293,2.1872,2.0262,0.7775,2.2859,2.144,0.7994,1.4483,0.8168,2.1628,2.3127,0.8351,0.8589,0.8657,2.2258
latitude_radian,0.3712,0.3749,0.3855,0.3875,0.3896,0.3934,0.3983,0.4023,0.4037,0.4075,0.4077,0.4203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6981,0.6995,0.7006,0.7032,0.7097,0.7098,0.7116,0.7128,0.7147,0.7173,0.7175,0.7775,0.728,0.7283,0.7472,0.75,0.7535,0.7617,0.7648,0.7648,0.7667,0.7775,0.7906,0.7962,0.7944,0.8159,0.8168,0.8264,0.8315,0.8351,0.8589,0.8657,0.877
city,柳州,厦门,韶关,昆明 ,龙岩,桂林,大理,郴州,赣州,福州,都匀 ,三明,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,沈阳,通化 ,哈密,图们,四平,二连浩特,乌鲁木齐 ,长春,锡林浩特,牡丹江,鸡西,白城,哈尔滨,塔城,佳木斯,齐齐哈尔,同江,阿勒泰,海拉尔,满洲里,黑河 ,,,,,,,,,,,,
longtitude_radian,1.9099,2.0611,1.9827,1.7951,2.0424,1.9234,1.7493,1.9724,2.0059,2.0822,1.8766,2.0532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1546,2.1981,1.6321,2.2661,2.1703,1.9539,1.5293,2.1872,2.0262,0.7775,2.2859,2.144,0.7994,1.4483,0.8168,2.1628,2.3127,0.8351,0.8589,0.8657,2.2258,,,,,,,,,,,,
latitude_radian,0.4246,0.4273,0.433,0.4341,0.4376,0.4405,0.4466,0.4498,0.4508,0.455,0.4583,0.4583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.728,0.7283,0.7472,0.75,0.7535,0.7617,0.7648,0.7648,0.7667,0.7775,0.7906,0.7962,0.7944,0.8159,0.8168,0.8264,0.8315,0.8351,0.8589,0.8657,0.877,,,,,,,,,,,,
city,攀枝花,六盘水,贵阳,衡阳,怀化,萍乡,遵义,西昌,温州,长沙,鹰潭,椒江,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,哈尔滨,塔城,佳木斯,齐齐哈尔,同江,阿勒泰,海拉尔,满洲里,黑河 ,,,,,,,,,,,,,,,,,,,,,,,,
longtitude_radian,1.7753,0.4641,1.861,1.9647,0.4812,1.9872,1.8663,1.7848,2.1066,1.9712,2.0433,2.1195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7994,1.4483,0.8168,2.1628,2.3127,0.8351,0.8589,0.8657,2.2258,,,,,,,,,,,,,,,,,,,,,,,,
latitude_radian,0.4639,0.4641,0.4651,0.4693,0.4812,0.4821,0.484,0.4868,0.4885,0.4927,0.4932,0.5004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7944,0.8159,0.8168,0.8264,0.8315,0.8351,0.8589,0.8657,0.877,,,,,,,,,,,,,,,,,,,,,,,,
city,南昌,宜宾,常德,金华,日喀则,景德镇,岳阳,重庆,拉萨,九江 ,黄山,宁波,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
longtitude_radian,2.0221,1.8263,1.9495,2.0883,0.5109,0.5109,1.9745,1.8596,1.5902,2.0246,2.0654,2.1227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
latitude_radian,0.5006,0.5018,0.5067,0.5075,0.1509,0.1509,0.5124,0.5159,0.5173,0.5185,0.5187,0.5212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
city,黄石,杭州,沙市,安庆,武汉,成都 ,宜昌,上海,芜湖,绵阳,无锡,合肥,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
longtitude_radian,2.0078,2.0981,1.9593,2.0431,1.9949,1.8164,1.9424,2.1201,2.067,1.827,2.0998,2.046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
latitude_radian,0.5271,0.528,0.529,0.5328,0.5339,0.5349,0.5356,0.5451,0.5472,0.5493,0.5496,0.5554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
city,襄樊,南京,信阳,扬州,十堰,蚌埠 ,南阳,汉中,徐州,西安,宝鸡,天水,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
longtitude_radian,1.9569,2.0735,1.9912,2.0841,1.9338,2.0488,1.964,1.8679,2.0469,1.9014,1.8717,1.8453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
latitude_radian,0.5587,0.5596,0.5611,0.5653,0.5695,0.5746,0.5758,0.5772,0.5971,0.5993,0.5997,0.6035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
city,连云港,洛阳,郑州,开封,运城,济宁,兰州,青岛 ,临汾,安阳,长治,格尔木,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
longtitude_radian,0.6039,1.9626,1.983,0.6074,1.9375,2.0349,1.8122,2.101,1.9464,1.9965,1.9743,0.6355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
latitude_radian,0.6039,0.6042,0.6065,0.6074,0.6114,0.618,0.6294,0.6295,0.6299,0.6301,0.6318,0.6355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
city,延安 ?,西宁,邯郸,济南,潍坊,和田,荣成,德令哈,烟台,太原,青铜峡,石家庄 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
longtitude_radian,1.911,1.7764,1.9991,2.0441,2.0797,1.3949,2.1379,0.6522,2.1197,1.9644,0.6636,1.9986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
latitude_radian,0.6386,0.6391,0.6393,0.6397,0.6407,0.6477,0.6487,0.6522,0.6538,0.661,0.6636,0.6639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
city,榆林,银川,保定,大连,张掖,天津,喀什,唐山,北京,秦皇岛,丹东,大同?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
longtitude_radian,1.9153,1.8541,2.0152,2.1225,1.7532,2.0455,1.3263,2.0626,2.0317,0.6971,2.1705,1.9775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
latitude_radian,0.6683,0.6718,0.6784,0.6791,0.6795,0.6822,0.6889,0.6917,0.6964,0.6971,0.6981,0.6995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
city,敦煌 ,玉门,包头,营口,张家口,呼和浩特,承德,锦州 ,鞍山,阿克苏,沈阳,通化 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
longtitude_radian,1.6521,1.6938,1.9171,2.1335,0.7116,1.9504,2.0588,2.1141,2.1466,0.7186,2.1546,2.1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
latitude_radian,0.7006,0.7032,0.7097,0.7098,0.7116,0.7128,0.7147,0.7173,0.7175,0.7775,0.728,0.7283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
city,哈密,图们,四平,二连浩特,乌鲁木齐 ,长春,锡林浩特,牡丹江,鸡西,白城,哈尔滨,塔城,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
longtitude_radian,1.6321,2.2661,2.1703,1.9539,1.5293,2.1872,2.0262,0.7775,2.2859,2.144,0.7994,1.4483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
latitude_radian,0.7472,0.75,0.7535,0.7617,0.7648,0.7648,0.7667,0.7775,0.7906,0.7962,0.7944,0.8159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
city,佳木斯,齐齐哈尔,同江,阿勒泰,海拉尔,满洲里,黑河 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
longtitude_radian,0.8168,2.1628,2.3127,0.8351,0.8589,0.8657,2.2258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
latitude_radian,0.8168,0.8264,0.8315,0.8351,0.8589,0.8657,0.877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
